孕周数,妇间BMI情景,孕妇平均BMI,BMI个体内偏差,预测Y浓度,标准误,95%置信区间下限,95%置信区间上限,预测Y浓度百分比,下限百分比,上限百分比
11,平均BMI减2,30.405292124,0,0.0578049903077,0.00373859409554,0.0504773458805,0.065132634735,5.78049903077,5.04773458805,6.5132634735
11.1428571429,平均BMI减2,30.405292124,0,0.0579120589873,0.00362423429343,0.0508085597721,0.0650155582024,5.79120589873,5.08085597721,6.50155582024
11.2857142857,平均BMI减2,30.405292124,0,0.0580192075563,0.00351408726985,0.0511315965074,0.0649068186052,5.80192075563,5.11315965074,6.49068186052
11.4285714286,平均BMI减2,30.405292124,0,0.0581265159045,0.00340865826928,0.0514455456967,0.0648074861123,5.81265159045,5.14455456967,6.48074861123
11.5714285714,平均BMI减2,30.405292124,0,0.0582340639212,0.00330844562033,0.0517495105054,0.0647186173371,5.82340639212,5.17495105054,6.47186173371
11.7142857143,平均BMI减2,30.405292124,0,0.0583419314962,0.00321393252409,0.052042623749,0.0646412392434,5.83419314962,5.2042623749,6.46412392434
11.8571428571,平均BMI减2,30.405292124,0,0.0584501985188,0.00312557709401,0.0523240674146,0.0645763296231,5.84501985188,5.23240674146,6.45763296231
12,平均BMI减2,30.405292124,0,0.0585589448787,0.00304380073341,0.0525930954412,0.0645247943162,5.85589448787,5.25930954412,6.45247943162
12.1428571429,平均BMI减2,30.405292124,0,0.0586682504654,0.00296897513426,0.0528490592023,0.0644874417286,5.86682504654,5.28490592023,6.44874417286
12.2857142857,平均BMI减2,30.405292124,0,0.0587781951684,0.00290140841991,0.0530914346654,0.0644649556715,5.87781951684,5.30914346654,6.44649556715
12.4285714286,平均BMI减2,30.405292124,0,0.0588888588773,0.0028413312051,0.0533198497153,0.0644578680393,5.88888588773,5.33198497153,6.44578680393
12.5714285714,平均BMI减2,30.405292124,0,0.0590003214816,0.00278888356654,0.0535341096912,0.064466533272,5.90003214816,5.35341096912,6.4466533272
12.7142857143,平均BMI减2,30.405292124,0,0.0591126628709,0.0027441040513,0.0537342189303,0.0644911068114,5.91126628709,5.37342189303,6.44911068114
12.8571428571,平均BMI减2,30.405292124,0,0.0592259629346,0.00270692184569,0.0539203961171,0.0645315297522,5.92259629346,5.39203961171,6.45315297522
13,平均BMI减2,30.405292124,0,0.0593403015624,0.00267715305189,0.0540930815807,0.0645875215441,5.93403015624,5.40930815807,6.45875215441
13.1428571429,平均BMI减2,30.405292124,0,0.0594557586438,0.00265450167566,0.0542529353595,0.0646585819281,5.94557586438,5.42529353595,6.46585819281
13.2857142857,平均BMI减2,30.405292124,0,0.0595724140683,0.00263856546182,0.0544008257631,0.0647440023735,5.95724140683,5.44008257631,6.47440023735
13.4285714286,平均BMI减2,30.405292124,0,0.0596903477255,0.00262884620727,0.0545378091592,0.0648428862917,5.96903477255,5.45378091592,6.48428862917
13.5714285714,平均BMI减2,30.405292124,0,0.0598096395048,0.00262476372963,0.0546651025948,0.0649541764149,5.98096395048,5.46651025948,6.49541764149
13.7142857143,平均BMI减2,30.405292124,0,0.0599303692959,0.00262567235648,0.0547840514772,0.0650766871147,5.99303692959,5.47840514772,6.50766871147
13.8571428571,平均BMI减2,30.405292124,0,0.0600526169883,0.00263087867173,0.0548960947917,0.0652091391849,6.00526169883,5.48960947917,6.52091391849
