模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,1,5,134,33,491,122,0.0314665258542,0.0221318420438,0.204489133525,1,lbfgs,The MLE may be on the boundary of the parameter space.
空模型_随机截距,空模型（随机截距）,2,1,135,32,491,122,0.0351042552679,0.0279215295426,-0.158847638344,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,2,2,133,34,490,123,0.0413451664923,0.0293766200296,-0.052897482975,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,2,3,133,34,490,123,0.0333787748663,0.0247943661273,-0.00956542294131,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,2,4,134,33,491,122,0.0405869743733,0.0278821848919,-0.0372920152107,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,2,5,133,34,490,123,0.0306527097546,0.0223523685874,-0.0430414719551,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,2,1,135,32,491,122,0.0303152380012,0.0241709561424,0.135771117238,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,2,2,133,34,490,123,0.0394539376417,0.0275331822089,0.0412236675151,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,2,3,133,34,490,123,0.0306335803736,0.0227029126827,0.149666671971,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,2,4,134,33,491,122,0.0368286792034,0.0246679287491,0.145917215333,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,2,5,133,34,490,123,0.030270963502,0.0219486599775,-0.0172233473006,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,2,1,135,32,491,122,0.0289801251984,0.0226512541877,0.210217826608,1,lbfgs,
