折数,随机种子,折号,候选模型,测试孕妇数,测试事件数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常或提示
7,20250825,5,logit二次随机截距,24,90,1,powell,0.051513268507399256,0.03804706615204292,-0.26233949693642855,lbfgs:LinAlgError:Singular matrix
7,20250825,6,logit二次随机截距,24,87,1,lbfgs,0.02884074731954434,0.02246244080461526,0.13142519591494117,
7,20250825,7,logit二次随机截距,23,85,1,lbfgs,0.03440400312133971,0.023520585353080943,0.11038382746340447,
7,20250825,1,logit二次随机斜率,24,82,1,lbfgs,0.02476283307765786,0.020605542565384716,-0.04809292454846559,
7,20250825,2,logit二次随机斜率,24,90,1,lbfgs,0.025539310388579473,0.020898648496372824,0.11977275845097723,
7,20250825,3,logit二次随机斜率,24,91,1,lbfgs,0.03178724989879858,0.023945741359290982,-0.07257081120444808,
7,20250825,4,logit二次随机斜率,24,88,1,lbfgs,0.029579554284355828,0.020448140221548422,0.292231643871095,
7,20250825,5,logit二次随机斜率,24,90,1,lbfgs,0.05150226090179166,0.03807429059333771,-0.2618000688971549,
7,20250825,6,logit二次随机斜率,24,87,1,lbfgs,0.029007990000904007,0.02259116230156545,0.1213225480957586,
7,20250825,7,logit二次随机斜率,23,85,1,lbfgs,0.03438807391977362,0.02351029288963288,0.11120742898969649,
7,20250825,1,logit样条随机斜率,24,82,1,lbfgs,0.024917384357274037,0.020710251969159748,-0.061216592150344695,
7,20250825,2,logit样条随机斜率,24,90,1,lbfgs,0.02549755950580643,0.020851043527384986,0.12264834316436857,
7,20250825,3,logit样条随机斜率,24,91,1,lbfgs,0.031793109494186546,0.02394559935016578,-0.07296627858617666,
7,20250825,4,logit样条随机斜率,24,88,1,lbfgs,0.02958477894968785,0.020483773465487916,0.2919815941688261,
7,20250825,5,logit样条随机斜率,24,90,1,lbfgs,0.05154183720282214,0.03814055692182571,-0.26374004455590905,
7,20250825,6,logit样条随机斜率,24,87,1,lbfgs,0.02900306282207085,0.022581647558128536,0.12162101987921359,
7,20250825,7,logit样条随机斜率,23,85,1,lbfgs,0.03441872112361753,0.0235623639327489,0.1096225106204608,
8,20250824,1,原尺度二次随机斜率,21,76,1,lbfgs,0.02852186885812535,0.021362633059123882,0.1790316434112006,
8,20250824,2,原尺度二次随机斜率,21,80,1,lbfgs,0.025099689825959736,0.019866532788564983,0.2150376010453866,
8,20250824,3,原尺度二次随机斜率,21,76,1,lbfgs,0.03297868046220983,0.026092831935165654,-0.017903719891884107,
8,20250824,4,原尺度二次随机斜率,21,81,1,lbfgs,0.035428137087904196,0.027074904522809664,0.15292159571050257,
8,20250824,5,原尺度二次随机斜率,21,69,1,lbfgs,0.023501690599380065,0.018223091236510634,0.090156286739693,
8,20250824,6,原尺度二次随机斜率,21,80,1,lbfgs,0.04031767675387408,0.029653873344291915,0.17494512766716186,
8,20250824,7,原尺度二次随机斜率,21,77,1,lbfgs,0.023368694124083614,0.01888201087342644,0.4151473113247436,
8,20250824,8,原尺度二次随机斜率,20,74,1,lbfgs,0.042064679502088184,0.03222187248254701,0.1235553115008785,
8,20250824,1,logit线性随机斜率,21,76,1,lbfgs,0.029084272332777803,0.02040970885413143,0.14633619934223174,
8,20250824,2,logit线性随机斜率,21,80,1,lbfgs,0.0259633385845411,0.019516055765932613,0.16008909797692217,
8,20250824,3,logit线性随机斜率,21,76,1,lbfgs,0.035319700375122734,0.027150763744431653,-0.16754646544719987,
8,20250824,4,logit线性随机斜率,21,81,1,lbfgs,0.036028656345755,0.0268787956840865,0.12396167024820859,
8,20250824,5,logit线性随机斜率,21,69,1,lbfgs,0.02132288047895965,0.016051544128283305,0.2510370492825511,
8,20250824,6,logit线性随机斜率,21,80,1,lbfgs,0.041672765182405404,0.028741701042120888,0.11855245211087684,
8,20250824,7,logit线性随机斜率,21,77,1,lbfgs,0.026825690722924882,0.020926578822346477,0.2293105231046848,
8,20250824,8,logit线性随机斜率,20,74,1,lbfgs,0.04375048656293925,0.032369554445039424,0.051897876141846044,
8,20250824,1,logit二次随机截距,21,76,1,lbfgs,0.028321604636187936,0.019835753974777298,0.19051990818811182,
8,20250824,2,logit二次随机截距,21,80,1,lbfgs,0.025582644390737246,0.019448188517977527,0.18453934345020173,
8,20250824,3,logit二次随机截距,21,76,1,lbfgs,0.03521289339084626,0.027124826734613958,-0.16049580727725776,
8,20250824,4,logit二次随机截距,21,81,1,lbfgs,0.03571225562158558,0.026327869199742275,0.13928070279155325,
8,20250824,5,logit二次随机截距,21,69,1,lbfgs,0.021752347050272104,0.016335620918554252,0.22056332493501096,
8,20250824,6,logit二次随机截距,21,80,1,lbfgs,0.041001784724366594,0.028218503979903775,0.14670862006545948,
8,20250824,7,logit二次随机截距,21,77,1,lbfgs,0.026061564220787238,0.020897009746883414,0.2725911847339638,
8,20250824,8,logit二次随机截距,20,74,1,powell,0.04310243912467171,0.032414383485517416,0.07977709463390326,lbfgs:LinAlgError:Singular matrix
8,20250824,1,logit二次随机斜率,21,76,1,lbfgs,0.02832638740591533,0.019821825512038226,0.19024648556043589,
8,20250824,2,logit二次随机斜率,21,80,1,lbfgs,0.025697961499468833,0.019518285199597224,0.17717118363028717,
8,20250824,3,logit二次随机斜率,21,76,1,lbfgs,0.03504145187731506,0.027096661715226768,-0.1492230713123095,
8,20250824,4,logit二次随机斜率,21,81,1,lbfgs,0.0358319192764656,0.0265070385604085,0.1335028892874488,
8,20250824,5,logit二次随机斜率,21,69,1,lbfgs,0.021754116593738205,0.016315607106595305,0.22043650614410337,
8,20250824,6,logit二次随机斜率,21,80,1,lbfgs,0.0410197289801584,0.02831035644259724,0.14596157798254417,
8,20250824,7,logit二次随机斜率,21,77,1,lbfgs,0.025811991582307563,0.020768974107637436,0.28645620765421,
8,20250824,8,logit二次随机斜率,20,74,1,lbfgs,0.04309523271886454,0.032410618741448176,0.08008477770034594,
8,20250824,1,logit样条随机斜率,21,76,1,lbfgs,0.028309046580258786,0.019821135206485527,0.19123761063898037,
8,20250824,2,logit样条随机斜率,21,80,1,lbfgs,0.02571812809398572,0.019488943498239607,0.17587923943690886,
8,20250824,3,logit样条随机斜率,21,76,1,lbfgs,0.03500351550097475,0.02712564181990056,-0.14673608763805568,
8,20250824,4,logit样条随机斜率,21,81,1,lbfgs,0.03580088749452166,0.026531184174129037,0.1350030771936277,
8,20250824,5,logit样条随机斜率,21,69,1,lbfgs,0.02190567437032247,0.016393430816077102,0.20953645672242338,
8,20250824,6,logit样条随机斜率,21,80,1,lbfgs,0.04098882658704873,0.028321419866278657,0.14724788047663195,
8,20250824,7,logit样条随机斜率,21,77,1,lbfgs,0.025858305980694496,0.020783995723671178,0.28389329035633926,
8,20250824,8,logit样条随机斜率,20,74,1,lbfgs,0.04314000539369108,0.03242867230579496,0.07817234063327583,
8,20250825,1,原尺度二次随机斜率,21,73,1,lbfgs,0.026115814882690054,0.02221504598410306,-0.2211885809485743,
8,20250825,2,原尺度二次随机斜率,21,78,1,lbfgs,0.027663442023671735,0.02312967364874056,-0.053931121955661965,
8,20250825,3,原尺度二次随机斜率,21,77,1,lbfgs,0.029247514906927705,0.024176569402927457,-0.09702306632745783,
8,20250825,4,原尺度二次随机斜率,21,81,1,lbfgs,0.026821565622697094,0.0193486973898179,0.27808825361729295,
8,20250825,5,原尺度二次随机斜率,21,76,1,lbfgs,0.04020727664803023,0.030196005088132447,0.09991939675924,
8,20250825,6,原尺度二次随机斜率,21,78,1,lbfgs,0.04563025798201957,0.032772880580405464,-0.026972008094228173,
8,20250825,7,原尺度二次随机斜率,21,76,1,lbfgs,0.027521340142847784,0.021799253186694074,0.14936234186225106,
8,20250825,8,原尺度二次随机斜率,20,74,1,lbfgs,0.03496790921147075,0.024148385419579536,0.14792509473161886,
8,20250825,1,logit线性随机斜率,21,73,1,lbfgs,0.023487820371920543,0.019428429001577395,0.012218233163476255,
8,20250825,2,logit线性随机斜率,21,78,1,lbfgs,0.02501185494678887,0.0209315946762329,0.1384279544395196,
8,20250825,3,logit线性随机斜率,21,77,1,lbfgs,0.028904029086495805,0.023045558921386024,-0.0714072688476608,
8,20250825,4,logit线性随机斜率,21,81,1,lbfgs,0.02851168419466081,0.019351567668364596,0.1842415093546731,
8,20250825,5,logit线性随机斜率,21,76,1,lbfgs,0.04361016169163751,0.03277245758037774,-0.05888179162730056,
8,20250825,6,logit线性随机斜率,21,78,1,lbfgs,0.04815273705406049,0.03371451142428985,-0.14365415944061843,
8,20250825,7,logit线性随机斜率,21,76,1,lbfgs,0.02908818558258472,0.021621623772094343,0.04974817116858132,
8,20250825,8,logit线性随机斜率,20,74,1,lbfgs,0.036556628153614004,0.02486077340977059,0.06874052264395913,
8,20250825,1,logit二次随机截距,21,73,1,lbfgs,0.023726739468338684,0.01981310823575215,-0.007979488381237188,
8,20250825,2,logit二次随机截距,21,78,1,lbfgs,0.025360278293469655,0.02087197920178479,0.1142568002879587,
8,20250825,3,logit二次随机截距,21,77,1,lbfgs,0.028599263843993184,0.02285545668821565,-0.04893246199133228,
8,20250825,4,logit二次随机截距,21,81,1,lbfgs,0.0278002404149219,0.018671081335154063,0.22444435700583587,
8,20250825,5,logit二次随机截距,21,76,1,lbfgs,0.04269707150638457,0.03167395524263644,-0.015005192757062469,
8,20250825,6,logit二次随机截距,21,78,1,powell,0.04776850783190282,0.034068630716350606,-0.1254756631438112,lbfgs:LinAlgError:Singular matrix
8,20250825,7,logit二次随机截距,21,76,1,lbfgs,0.02807793968790586,0.021670109720123287,0.11460732826939402,
8,20250825,8,logit二次随机截距,20,74,1,lbfgs,0.03630919286039552,0.025071770160091746,0.08130440761664903,
8,20250825,1,logit二次随机斜率,21,73,1,lbfgs,0.02385404329423398,0.01992540717501656,-0.018824964187220905,
8,20250825,2,logit二次随机斜率,21,78,1,lbfgs,0.025233696890472793,0.02076361235853117,0.12307679866227383,
8,20250825,3,logit二次随机斜率,21,77,1,lbfgs,0.028681861330994502,0.02291994597791826,-0.05500005150080356,
8,20250825,4,logit二次随机斜率,21,81,1,lbfgs,0.0275500412112395,0.01844915584791466,0.2383413749032789,
8,20250825,5,logit二次随机斜率,21,76,1,lbfgs,0.04258447122903177,0.03158154178621377,-0.009658729397265198,
8,20250825,6,logit二次随机斜率,21,78,1,lbfgs,0.04778871823804823,0.034128051467870936,-0.126428220934228,
8,20250825,7,logit二次随机斜率,21,76,1,lbfgs,0.028242579195635213,0.021789721584232837,0.10419360205263184,
8,20250825,8,logit二次随机斜率,20,74,1,lbfgs,0.03629127993445868,0.02506427192953943,0.0822106501102855,
8,20250825,1,logit样条随机斜率,21,73,1,lbfgs,0.023923470672192193,0.01997346814074947,-0.024764190625201188,
8,20250825,2,logit样条随机斜率,21,78,1,lbfgs,0.025274284255627475,0.020801346905165958,0.12025354002705801,
8,20250825,3,logit样条随机斜率,21,77,1,lbfgs,0.028705228535885436,0.022928260756631354,-0.05671977563408759,
8,20250825,4,logit样条随机斜率,21,81,1,lbfgs,0.027472377621174496,0.018395475305980683,0.24262955482976545,
8,20250825,5,logit样条随机斜率,21,76,1,lbfgs,0.04260305477848073,0.03164701518241792,-0.010540136934309885,
8,20250825,6,logit样条随机斜率,21,78,1,lbfgs,0.04780326565855693,0.034160903828659946,-0.1271141200226762,
8,20250825,7,logit样条随机斜率,21,76,1,lbfgs,0.028228458576464544,0.021767222610143813,0.1050891419906348,
8,20250825,8,logit样条随机斜率,20,74,1,lbfgs,0.036315802375180846,0.02510161312312266,0.08096990914447066,
9,20250824,1,原尺度二次随机斜率,19,69,1,lbfgs,0.02894973522366479,0.02138338924953136,0.18722872727573348,
9,20250824,2,原尺度二次随机斜率,19,71,1,lbfgs,0.024886685206791853,0.019785733787400592,0.1556452917204354,
9,20250824,3,原尺度二次随机斜率,19,68,1,lbfgs,0.02798138347556702,0.0227530251178364,0.1454151931758656,
9,20250824,4,原尺度二次随机斜率,19,75,1,lbfgs,0.04020018256580077,0.03152289654085781,-0.03114362919970115,
9,20250824,5,原尺度二次随机斜率,19,64,1,lbfgs,0.02367500033206229,0.018406244519704604,0.191005593041505,
9,20250824,6,原尺度二次随机斜率,18,67,1,lbfgs,0.039067692540892006,0.028246024574487927,0.11789559221248536,
9,20250824,7,原尺度二次随机斜率,18,66,1,lbfgs,0.028450172858424133,0.021080194367227252,0.2591476447250429,
9,20250824,8,原尺度二次随机斜率,18,67,1,lbfgs,0.037856225361218646,0.02739280394132254,0.15996153885122855,
9,20250824,9,原尺度二次随机斜率,18,66,1,lbfgs,0.03328423061615971,0.027018843275408877,0.1950674011520609,
9,20250824,1,logit线性随机斜率,19,69,1,lbfgs,0.029392820928475664,0.02021134805382589,0.16215884210580855,
9,20250824,2,logit线性随机斜率,19,71,1,lbfgs,0.025379236342871123,0.019258206817544504,0.12189202627638984,
9,20250824,3,logit线性随机斜率,19,68,1,lbfgs,0.030253566933672205,0.023815912544568094,0.000989684955289838,
9,20250824,4,logit线性随机斜率,19,75,1,lbfgs,0.04188373816191628,0.031989586806707056,-0.11931927863658753,
9,20250824,5,logit线性随机斜率,19,64,1,lbfgs,0.021502737463333126,0.015625973408350632,0.3326509655193757,
9,20250824,6,logit线性随机斜率,18,67,1,lbfgs,0.03952424693700873,0.02774742662766777,0.09715815877407652,
9,20250824,7,logit线性随机斜率,18,66,1,lbfgs,0.030246291142171457,0.02063860678569706,0.162651776052265,
9,20250824,8,logit线性随机斜率,18,67,1,lbfgs,0.04094591140016411,0.029621368494745552,0.01724414771569005,
9,20250824,9,logit线性随机斜率,18,66,1,lbfgs,0.03403794184741625,0.026304874606558677,0.15819974059826092,
9,20250824,1,logit二次随机截距,19,69,1,lbfgs,0.028457134273311535,0.01951285320751149,0.21465319853330367,
9,20250824,2,logit二次随机截距,19,71,1,lbfgs,0.025175780882635727,0.019153845870324808,0.13591449348304518,
9,20250824,3,logit二次随机截距,19,68,1,lbfgs,0.029904487042290713,0.02376394065042367,0.02391078263282742,
9,20250824,4,logit二次随机截距,19,75,1,lbfgs,0.04205455158083175,0.03222984879252517,-0.12846768007724352,
9,20250824,5,logit二次随机截距,19,64,1,lbfgs,0.020735031823976808,0.015364697592664114,0.37945262323125994,
9,20250824,6,logit二次随机截距,18,67,1,lbfgs,0.03962428426337035,0.027894644091986887,0.09258212305529279,
9,20250824,7,logit二次随机截距,18,66,1,lbfgs,0.02894396991267705,0.019751441590605545,0.23320717024386073,
9,20250824,8,logit二次随机截距,18,67,1,lbfgs,0.040404058682496594,0.02962485538401355,0.043082404349141346,
9,20250824,9,logit二次随机截距,18,66,1,lbfgs,0.03340514069618909,0.026561692685919267,0.18920869652384642,
9,20250824,1,logit二次随机斜率,19,69,1,lbfgs,0.0284577457423833,0.019531675476019042,0.21461944809066413,
9,20250824,2,logit二次随机斜率,19,71,1,lbfgs,0.025255455263077896,0.019198166599811953,0.13043665618015876,
9,20250824,3,logit二次随机斜率,19,68,1,lbfgs,0.029863773855996013,0.023783259162621435,0.026566748639965887,
9,20250824,4,logit二次随机斜率,19,75,1,lbfgs,0.042073749081321,0.03227675433412271,-0.12949818463264529,
9,20250824,5,logit二次随机斜率,19,64,1,lbfgs,0.020704386034054566,0.015437087485569165,0.3812855706114435,
9,20250824,6,logit二次随机斜率,18,67,1,lbfgs,0.039694468479134354,0.0280121224286299,0.08936476202086585,
9,20250824,7,logit二次随机斜率,18,66,1,lbfgs,0.028840194294064835,0.019692626957098034,0.23869582626395092,
9,20250824,8,logit二次随机斜率,18,67,1,lbfgs,0.04029485354794134,0.029489995221523457,0.048248177052074626,
9,20250824,9,logit二次随机斜率,18,66,1,lbfgs,0.033371841800889014,0.026540140048383034,0.19082431602847028,
9,20250824,1,logit样条随机斜率,19,69,1,lbfgs,0.02841590392562491,0.019489874145218647,0.21692726199089074,
9,20250824,2,logit样条随机斜率,19,71,1,lbfgs,0.025261037398958568,0.019155098253538803,0.13005221985730087,
9,20250824,3,logit样条随机斜率,19,68,1,lbfgs,0.029889496507597906,0.023858810997592378,0.024889126241456005,
9,20250824,4,logit样条随机斜率,19,75,1,lbfgs,0.042028836204794806,0.03226637395255264,-0.12708803875725172,
9,20250824,5,logit样条随机斜率,19,64,1,lbfgs,0.02063859139128649,0.015427660951534982,0.38521163859120555,
9,20250824,6,logit样条随机斜率,18,67,1,lbfgs,0.03990254968283015,0.028244929256673323,0.07979251009686661,
9,20250824,7,logit样条随机斜率,18,66,1,lbfgs,0.02886509278961123,0.019711650115455535,0.23738075115025226,
9,20250824,8,logit样条随机斜率,18,67,1,lbfgs,0.04030952306745098,0.029506352225597825,0.04755507199659226,
9,20250824,9,logit样条随机斜率,18,66,1,lbfgs,0.03340137304672861,0.02655317108379088,0.18939157886378521,
9,20250825,1,原尺度二次随机斜率,19,66,1,lbfgs,0.025288656131214247,0.02161944566750848,-0.14086209055245535,
9,20250825,2,原尺度二次随机斜率,19,69,1,lbfgs,0.02837980322235502,0.024072722430445823,-0.0697089393370931,
9,20250825,3,原尺度二次随机斜率,19,69,1,lbfgs,0.029900342028050638,0.024355533089602144,-0.06080162183012461,
9,20250825,4,原尺度二次随机斜率,19,73,1,lbfgs,0.027280633487288923,0.0198676402106345,0.24266754044985983,
9,20250825,5,原尺度二次随机斜率,19,70,1,lbfgs,0.031101654713739026,0.023105887104374945,0.2372150297390081,
9,20250825,6,原尺度二次随机斜率,18,67,1,lbfgs,0.04900565190055288,0.036011757836489355,-0.08210049688377552,
9,20250825,7,原尺度二次随机斜率,18,68,1,lbfgs,0.033778867110322186,0.025772494933429573,0.09095318715737288,
9,20250825,8,原尺度二次随机斜率,18,65,1,lbfgs,0.02488162272870012,0.018917977753502038,0.3660305759233805,
9,20250825,9,原尺度二次随机斜率,18,66,1,lbfgs,0.036839590974851,0.025975596277086104,0.11694551401544206,
9,20250825,1,logit线性随机斜率,19,66,1,lbfgs,0.022969215188591505,0.019031999885459564,0.05881724703562585,
9,20250825,2,logit线性随机斜率,19,69,1,lbfgs,0.02588386644658138,0.021643914669281374,0.11017384689632004,
9,20250825,3,logit线性随机斜率,19,69,1,lbfgs,0.029319597331206152,0.02357471943536113,-0.019994583718985215,
9,20250825,4,logit线性随机斜率,19,73,1,lbfgs,0.029377731493684077,0.02046976184777015,0.12175803786261585,
9,20250825,5,logit线性随机斜率,19,70,1,lbfgs,0.0328719945098045,0.0230848768533666,0.1479065096390927,
9,20250825,6,logit线性随机斜率,18,67,1,lbfgs,0.05223307646005333,0.038243191164487315,-0.22932430117627156,
9,20250825,7,logit线性随机斜率,18,68,1,lbfgs,0.0352657669489043,0.025172635349154544,0.009161769611561232,
9,20250825,8,logit线性随机斜率,18,65,1,lbfgs,0.02761837972902394,0.020141894932502805,0.21889880153285746,
9,20250825,9,logit线性随机斜率,18,66,1,lbfgs,0.03836564805824236,0.026431496365796527,0.04227024825725634,
9,20250825,1,logit二次随机截距,19,66,1,lbfgs,0.02321420265277826,0.019456934590551922,0.0386330452280772,
9,20250825,2,logit二次随机截距,19,69,1,lbfgs,0.025867757873969967,0.021363478479686445,0.11128105156906554,
9,20250825,3,logit二次随机截距,19,69,1,lbfgs,0.029033346724307796,0.02314255681260424,-0.00017515870409967604,
9,20250825,4,logit二次随机截距,19,73,1,lbfgs,0.02886276398732259,0.020307156831671214,0.1522778992686774,
9,20250825,5,logit二次随机截距,19,70,1,lbfgs,0.03191043371746885,0.022091649512042153,0.1970277251861361,
9,20250825,6,logit二次随机截距,18,67,1,lbfgs,0.051749367530220296,0.038106565687357874,-0.2066611977511068,
9,20250825,7,logit二次随机截距,18,68,1,lbfgs,0.034695167868154075,0.02557139184321944,0.040965843970503735,
9,20250825,8,logit二次随机截距,18,65,1,lbfgs,0.026402607879589653,0.01965312341225831,0.2861539466546582,
9,20250825,9,logit二次随机截距,18,66,1,lbfgs,0.038152456208638746,0.026843987119886958,0.05288458107809779,
9,20250825,1,logit二次随机斜率,19,66,1,lbfgs,0.023370457938345794,0.01960198014737017,0.02564752659431835,
9,20250825,2,logit二次随机斜率,19,69,1,lbfgs,0.025805052578740183,0.021312784728191248,0.1155844659373686,
9,20250825,3,logit二次随机斜率,19,69,1,lbfgs,0.029026237557236843,0.023122244264423223,0.00031459136402756105,
9,20250825,4,logit二次随机斜率,19,73,1,lbfgs,0.028673135680251333,0.020147124371048465,0.16338037277909578,
9,20250825,5,logit二次随机斜率,19,70,1,lbfgs,0.03181741889154774,0.022010572754953883,0.2017020253583286,
9,20250825,6,logit二次随机斜率,18,67,1,lbfgs,0.05170448406387324,0.038077450161085255,-0.20456897312744315,
9,20250825,7,logit二次随机斜率,18,68,1,lbfgs,0.03488780471016917,0.025764130394473148,0.030286651434495826,
9,20250825,8,logit二次随机斜率,18,65,1,lbfgs,0.026415682809336243,0.019643036048394527,0.2854467590863191,
9,20250825,9,logit二次随机斜率,18,66,1,lbfgs,0.038130950668034076,0.026831023237894377,0.05395200847878001,
9,20250825,1,logit样条随机斜率,19,66,1,lbfgs,0.023449589330791124,0.019675309808998634,0.019038122533358348,
9,20250825,2,logit样条随机斜率,19,69,1,lbfgs,0.025867711803584593,0.02136132130247065,0.11128421717686077,
9,20250825,3,logit样条随机斜率,19,69,1,lbfgs,0.029046084652392754,0.023131387101510602,-0.0010529737309397103,
9,20250825,4,logit样条随机斜率,19,73,1,lbfgs,0.02861325575024288,0.020097974153422408,0.1668710558487152,
9,20250825,5,logit样条随机斜率,19,70,1,lbfgs,0.031832456507751794,0.022047231272752536,0.20094726046706646,
9,20250825,6,logit样条随机斜率,18,67,1,lbfgs,0.0517825099165376,0.038201700896415315,-0.20820728187185011,
9,20250825,7,logit样条随机斜率,18,68,1,lbfgs,0.03486311536615447,0.0257633152025451,0.031658656075430947,
9,20250825,8,logit样条随机斜率,18,65,1,lbfgs,0.026379324035602978,0.01962532734463862,0.287412439856613,
9,20250825,9,logit样条随机斜率,18,66,1,lbfgs,0.03815559823681723,0.026882344341224548,0.0527285761353915,
10,20250824,1,原尺度二次随机斜率,17,61,1,lbfgs,0.029736593435487877,0.021537177585378996,0.15999232722207357,
10,20250824,2,原尺度二次随机斜率,17,66,1,lbfgs,0.0251984215676838,0.020748476080785106,0.14042503643416848,
10,20250824,3,原尺度二次随机斜率,17,63,1,lbfgs,0.023287219360235967,0.01871360358115513,0.32795792937621715,
10,20250824,4,原尺度二次随机斜率,17,62,1,lbfgs,0.041669357446809746,0.03283707641415207,-0.10132020040679657,
10,20250824,5,原尺度二次随机斜率,17,65,1,lbfgs,0.02909338735954138,0.023148148108930792,0.17096428366455374,
10,20250824,6,原尺度二次随机斜率,17,56,1,lbfgs,0.024645883581190478,0.019040052574736652,0.06136209692353933,
10,20250824,7,原尺度二次随机斜率,17,64,1,lbfgs,0.04313575755982741,0.03081451818803489,0.12928516153068637,
10,20250824,8,原尺度二次随机斜率,16,59,1,lbfgs,0.02256371304889633,0.01904453734499691,0.22757634931629545,
10,20250824,9,原尺度二次随机斜率,16,58,1,lbfgs,0.040509282916066196,0.029768084783642245,0.08305978575443962,
10,20250824,10,原尺度二次随机斜率,16,59,1,lbfgs,0.0327481633746188,0.02631453898343468,0.2069773461237363,
10,20250824,1,logit线性随机斜率,17,61,1,lbfgs,0.030358770272634162,0.020487767189767483,0.12447374437844605,
10,20250824,2,logit线性随机斜率,17,66,1,lbfgs,0.025735797800367968,0.020081846174496508,0.1033718815727207,
10,20250824,3,logit线性随机斜率,17,63,1,lbfgs,0.02447852400381407,0.018963688251832523,0.25743983488067235,
10,20250824,4,logit线性随机斜率,17,62,1,lbfgs,0.04438873599634523,0.034474822757411636,-0.24975693293959877,
10,20250824,5,logit线性随机斜率,17,65,1,lbfgs,0.028456464108362358,0.021848837655387563,0.20686606296347898,
10,20250824,6,logit线性随机斜率,17,56,1,lbfgs,0.02214874881439757,0.01657397272975375,0.2419328142248417,
10,20250824,7,logit线性随机斜率,17,64,1,lbfgs,0.04489544678964805,0.030630974959696963,0.05679589494008763,
10,20250824,8,logit线性随机斜率,16,59,1,lbfgs,0.02177948414058992,0.017406222579928517,0.28033628738824956,
10,20250824,9,logit线性随机斜率,16,58,1,lbfgs,0.04458518275422267,0.03357480269074853,-0.11074153285802257,
10,20250824,10,logit线性随机斜率,16,59,1,lbfgs,0.0332991295521742,0.025444766694142078,0.18006871170255356,
10,20250824,1,logit二次随机截距,17,61,1,lbfgs,0.029430887740667287,0.019732467395843528,0.17717486997019083,
10,20250824,2,logit二次随机截距,17,66,1,lbfgs,0.02533791664272028,0.019960019738784706,0.13088171112854674,
10,20250824,3,logit二次随机截距,17,63,1,lbfgs,0.024153775650720254,0.018772189740102276,0.27701173345989694,
10,20250824,4,logit二次随机截距,17,62,1,lbfgs,0.044218217215833744,0.034711441939702325,-0.2401735240247218,
10,20250824,5,logit二次随机截距,17,65,1,lbfgs,0.028162170631861844,0.02109435079724445,0.22318623342968713,
10,20250824,6,logit二次随机截距,17,56,1,lbfgs,0.022640446429768774,0.016982116454277867,0.20790134779717417,
10,20250824,7,logit二次随机截距,17,64,1,lbfgs,0.04435625453246344,0.030330033500645247,0.07931552422356913,
10,20250824,8,logit二次随机截距,16,59,1,lbfgs,0.02045479335285542,0.016883506690195445,0.36521797626314234,
10,20250824,9,logit二次随机截距,16,58,1,powell,0.04385935528522756,0.033355117661469744,-0.07487112399158402,lbfgs:LinAlgError:Singular matrix
10,20250824,10,logit二次随机截距,16,59,1,lbfgs,0.03283817151843903,0.02576385642660438,0.20261211879998708,
10,20250824,1,logit二次随机斜率,17,61,1,lbfgs,0.02942327201152268,0.01974214399311927,0.1776006541062204,
10,20250824,2,logit二次随机斜率,17,66,1,lbfgs,0.02543310650069115,0.020007105090509104,0.12433921194614006,
10,20250824,3,logit二次随机斜率,17,63,1,lbfgs,0.024150929003479676,0.018789087490338308,0.27718213922214785,
10,20250824,4,logit二次随机斜率,17,62,1,lbfgs,0.044217801336020844,0.0347349400606251,-0.24015019605086008,
10,20250824,5,logit二次随机斜率,17,65,1,lbfgs,0.028246536464650467,0.021307855772278988,0.21852503699068182,
10,20250824,6,logit二次随机斜率,17,56,1,lbfgs,0.02268076258635204,0.01698076604219654,0.20507783401345103,
10,20250824,7,logit二次随机斜率,17,64,1,lbfgs,0.044364437908605364,0.030344621477849394,0.07897577496103003,
10,20250824,8,logit二次随机斜率,16,59,1,lbfgs,0.020389876991404425,0.016873295388536772,0.3692407350471877,
10,20250824,9,logit二次随机斜率,16,58,1,lbfgs,0.04372879106554529,0.03321558466274258,-0.06848111569698023,
10,20250824,10,logit二次随机斜率,16,59,1,lbfgs,0.032857298596722546,0.025760764516927798,0.20168294756360283,
10,20250824,1,logit样条随机斜率,17,61,1,lbfgs,0.029380011027874617,0.019718451234108036,0.18001722080553462,
10,20250824,2,logit样条随机斜率,17,66,1,lbfgs,0.025419524620849517,0.019959764736609358,0.12527420932851685,
10,20250824,3,logit样条随机斜率,17,63,1,lbfgs,0.024226404482073624,0.01882983725941285,0.2726572391227555,
10,20250824,4,logit样条随机斜率,17,62,1,lbfgs,0.04418548864224441,0.03476640284627334,-0.23833834876108262,
10,20250824,5,logit样条随机斜率,17,65,1,lbfgs,0.02821288903241061,0.021326861289458363,0.22038572279512947,
10,20250824,6,logit样条随机斜率,17,56,1,lbfgs,0.02276891341427378,0.017011995016058608,0.19888675296807923,
10,20250824,7,logit样条随机斜率,17,64,1,lbfgs,0.04448783167025003,0.030644893023939978,0.0738452380569734,
10,20250824,8,logit样条随机斜率,16,59,1,lbfgs,0.020479303563615957,0.0169102606940903,0.3636957938985519,
10,20250824,9,logit样条随机斜率,16,58,1,lbfgs,0.043807216265135354,0.03330797251142137,-0.07231707751296468,
10,20250824,10,logit样条随机斜率,16,59,1,lbfgs,0.032828207934491295,0.025750755516204663,0.20309592380100527,
