模型,响应尺度,折号,训练事件数,测试事件数,训练孕妇数,测试孕妇数,孕妇泄漏数,收敛,警告,均方根误差,平均绝对误差,R方
孕周样条3+妇间BMI样条3,logit尺度,1,486,127,133,34,0,1,,0.0282920496104,0.0205450163002,0.102006189189
孕周样条3+妇间BMI样条3,logit尺度,2,488,125,133,34,0,1,,0.0409511506624,0.0297358516394,-0.348362213469
孕周样条3+妇间BMI样条3,logit尺度,3,496,117,134,33,0,1,,0.0258842504405,0.0193140065337,0.229790126733
孕周样条3+妇间BMI样条3,logit尺度,4,490,123,134,33,0,1,,0.0351934799906,0.0238609077926,0.175358879787
孕周样条3+妇间BMI样条3,logit尺度,5,492,121,134,33,0,1,Random effects covariance is singular,0.0385669004719,0.0295758157108,0.0965067185536
孕周样条3+孕周妇间BMI交互,logit尺度,1,486,127,133,34,0,1,,0.027824505012,0.0203735254224,0.131440818059
孕周样条3+孕周妇间BMI交互,logit尺度,2,488,125,133,34,0,1,,0.0359443397458,0.0268548626276,-0.0388082162633
孕周样条3+孕周妇间BMI交互,logit尺度,3,496,117,134,33,0,1,,0.025953034881,0.0194394511072,0.225691198129
孕周样条3+孕周妇间BMI交互,logit尺度,4,490,123,134,33,0,1,,0.0346855136203,0.0235368613359,0.198992059853
孕周样条3+孕周妇间BMI交互,logit尺度,5,492,121,134,33,0,1,lbfgs失败:LinAlgError:Singular matrix,0.0385515324935,0.0295857361665,0.0972266155969
