概率阈值,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,阳性判定比例,马修斯相关系数最大参考点标志
0.963771186737479,0.0,0.0,16.866666666666667,130.13333333333333,0.0,1.0,,,,0.5,0.8852607709750566,0.0,0
0.9637711867374789,0.25,0.0,16.616666666666667,130.13333333333333,0.014822134387351778,1.0,1.0,0.02921129503407984,0.1146464457774797,0.5074110671936759,0.8869614512471655,0.0017006802721088435,0
0.9236648548244567,0.5,0.0,16.366666666666667,130.13333333333333,0.029644268774703556,1.0,1.0,0.05758157389635316,0.1622728395948637,0.5148221343873518,0.8886621315192743,0.003401360544217687,0
0.8545452033237699,0.75,0.0,16.116666666666667,130.13333333333333,0.044466403162055336,1.0,1.0,0.08514664143803216,0.19891262119478165,0.5222332015810277,0.8903628117913832,0.00510204081632653,0
0.8188208175804107,1.0,0.0,15.866666666666664,130.13333333333333,0.059288537549407126,1.0,1.0,0.1119402985074627,0.22988107437225028,0.5296442687747036,0.892063492063492,0.006802721088435374,0
0.8133246611565457,1.25,0.0,15.616666666666665,130.13333333333333,0.0741106719367589,1.0,1.0,0.1379944802207912,0.2572351844814145,0.5370553359683794,0.8937641723356009,0.008503401360544218,0
0.7610888051843405,1.45,0.0,15.416666666666666,130.13333333333333,0.0859683794466403,1.0,1.0,0.15832575068243857,0.27724105467163207,0.5429841897233202,0.8951247165532878,0.009863945578231292,0
0.7216140156653003,1.7,0.0,15.166666666666664,130.13333333333333,0.10079051383399211,1.0,1.0,0.18312387791741475,0.300449371329441,0.5503952569169961,0.8968253968253967,0.011564625850340135,0
0.6797894661480302,1.7,0.25,15.166666666666664,129.88333333333333,0.10079051383399211,0.9980788934426229,0.8717948717948718,0.18069087688219665,0.2754194879372809,0.5494347036383075,0.8951247165532878,0.013265306122448979,0
0.6673099971217457,2.033333333333333,0.25,14.833333333333332,129.88333333333333,0.12055335968379445,0.9980788934426229,0.8905109489051095,0.21235857267188857,0.30575090650120834,0.5593161265632087,0.897392290249433,0.015532879818594103,0
0.6642743636624425,2.283333333333333,0.25,14.583333333333332,129.88333333333333,0.13537549407114624,0.9980788934426229,0.9013157894736842,0.2353951890034364,0.3268223660189239,0.5667271937568845,0.8990929705215419,0.017233560090702947,0
0.6454044024161614,2.533333333333333,0.25,14.333333333333332,129.88333333333333,0.15019762845849802,0.9980788934426229,0.9101796407185628,0.25784563189143345,0.3467296342297658,0.5741382609505604,0.9007936507936507,0.01893424036281179,0
0.6121740138552848,2.783333333333333,0.25,14.083333333333332,129.88333333333333,0.1650197628458498,0.9980788934426229,0.9175824175824175,0.2797319932998325,0.36565224801318597,0.5815493281442363,0.9024943310657596,0.020634920634920634,0
0.6107605859775628,3.0333333333333337,0.25,13.83333333333333,129.88333333333333,0.17984189723320163,0.9980788934426229,0.9238578680203046,0.30107526881720437,0.3837289385637127,0.5889603953379122,0.9041950113378684,0.022335600907029476,0
0.602878570440953,3.2833333333333337,0.25,13.58333333333333,129.88333333333333,0.1946640316205534,0.9980788934426229,0.9292452830188679,0.3218954248366014,0.4010694149558537,0.5963714625315881,0.9058956916099773,0.024036281179138322,0
0.5974635650477466,3.2833333333333337,0.5,13.58333333333333,129.63333333333333,0.1946640316205534,0.9961577868852459,0.8678414096916299,0.317998385794996,0.384063339962763,0.5954109092528996,0.9041950113378684,0.025736961451247164,0
0.5968687026167353,3.2833333333333337,0.75,13.58333333333333,129.38333333333333,0.1946640316205534,0.9942366803278688,0.8140495867768596,0.31419457735247214,0.36854714342995243,0.5944503559742111,0.9024943310657596,0.02743764172335601,0
0.5954398817047499,3.5333333333333337,0.75,13.33333333333333,129.38333333333333,0.2094861660079052,0.9942366803278688,0.8249027237354086,0.33412135539795124,0.38602938083909105,0.601861423167887,0.9041950113378684,0.02913832199546485,0
0.5900526626168661,3.5333333333333337,1.0,13.33333333333333,129.13333333333333,0.2094861660079052,0.9923155737704918,0.7794117647058825,0.33021806853582564,0.3720217710115544,0.6009008698891986,0.9024943310657596,0.030839002267573697,0
0.5434476544120942,3.5333333333333337,1.25,13.33333333333333,128.88333333333333,0.2094861660079052,0.9903944672131147,0.7386759581881533,0.3264049268668207,0.3590368739976244,0.59994031661051,0.9007936507936507,0.03253968253968254,0
