路线,外层孕妇数,外层记录数,异常记录数,概率输出标志,多因素综合标志,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率,主模型标志,主审裁决
三标准差Z值规则基准,147,605,67,0,0,0.6000000000000001,7.297619047619048,16.266666666666666,122.83571428571429,0.03557312252964427,0.9439219847775177,0.0759722640940609,0.04845687914623594,-0.028983513858930974,0.48974755365358097,0.8396987366375122,0.5312274611376981,0.12438941661028251,0.11473922902494331,0.053725299643666985,,,,,,,0,领域基准，不满足多因素概率输出门槛
L1正则多因素逻辑回归,147,605,67,1,1,4.983333333333333,4.116666666666666,11.883333333333331,126.01666666666668,0.2954545454545455,0.9683657786885246,0.5476190476190477,0.3838254172015405,0.34891073249190124,0.631910162071535,0.891156462585034,0.7954807423621464,0.49006124549808217,0.11473922902494331,0.0619047619047619,0.07929700706991953,0.2873736016149947,-0.1757864866589346,0.850683551720605,0.11473922902494331,0.10898234455479049,1,剪枝树未以整簇PR曲线下面积差95%区间全正证明优于可解释逻辑回归，按预声明简洁性规则选择逻辑回归
贝叶斯信息准则剪枝决策树,147,605,67,1,1,5.516666666666667,10.369047619047619,11.349999999999998,119.7642857142857,0.3270750988142293,0.920319818501171,0.34727218225419665,0.33687118348357087,0.25396349831286325,0.6236974586577001,0.8522513767411726,0.45717993417398683,0.16518690221498414,0.11473922902494331,0.10806608357628766,0.0993814544155186,0.3419193952652624,-0.6908911131191012,0.6283717316849012,0.11473922902494331,0.1152882780247581,0,未通过相对可解释路线的PR区间优势闸门
