分布,负对数似然,赤池信息准则,贝叶斯信息准则,BMI中心,BMI尺度,截距,BMI系数,BMI每增加1单位的时间尺度倍数,尺度参数σ,收敛标志,优化信息,留一验证人数,留一负对数似然_每人,全样本贝叶斯信息准则排名,留一预测排名
对数逻辑斯蒂,149.13069423865184,304.2613884773037,313.6153699145539,31.17913832,4.202317434999998,2.2876378143156,0.12222796007620758,1.0295129708202144,0.2556591865498313,1,Optimization terminated successfully.,167,0.9117124878750641,1.0,1.0
对数正态,149.18638165656043,304.37276331312086,313.7267447503711,31.17913832,4.202317434999998,2.257286405539846,0.12908908828311985,1.0311952306977126,0.46918998546387747,1,Optimization terminated successfully.,167,0.9124951953504302,2.0,2.0
Weibull,149.8148082254831,305.6296164509662,314.9835978882164,31.17913832,4.202317434999998,2.3949301989576464,0.1304681085486352,1.0315336802542892,0.5744696895983828,1,Optimization terminated successfully.,167,0.9166276084476309,3.0,3.0
