删去孕妇,被删事件数,收敛标志,孕周效应_百分点,妇间BMI效应_百分点,BMI个体内效应_百分点,孕周效应变化_百分点,妇间BMI效应变化_百分点,BMI个体内效应变化_百分点,孕周系数变化_主模型标准误,妇间BMI系数变化_主模型标准误,BMI个体内系数变化_主模型标准误,最大标准化系数变化,最大相对变化,任一核心效应方向翻转标志,警告或异常
A156,1,1,0.356799203221,-0.186780534809,-0.0738399797136,-0.00136707086626,0.00423771624552,0.00146185449063,-0.0372879122709,0.0764050068515,0.0108019715913,0.0764050068515,0.0221848761682,0,The MLE may be on the boundary of the parameter space.
A007,4,1,0.362067014347,-0.187957900915,-0.0772149701569,0.00390074025937,0.00306035013943,-0.00191313595271,0.036692629848,0.0750259640588,-0.013469368238,0.0750259640588,0.0254062331008,0,The MLE may be on the boundary of the parameter space.
A125,4,1,0.354995712967,-0.193692223949,-0.0779553273718,-0.00317056112017,-0.00267397289452,-0.0026534931676,-0.0749182810629,-0.0546568880463,-0.0222359541246,0.0749182810629,0.0352380947376,0,The MLE may be on the boundary of the parameter space.
A116,1,1,0.359119782523,-0.186922915921,-0.0769734372028,0.000953508435853,0.00409533513381,-0.00167160299858,0.0488832591844,0.0748847278305,-0.0150154435896,0.0748847278305,0.0221987022792,0,The MLE may be on the boundary of the parameter space.
A056,4,1,0.356531892163,-0.190796458544,-0.0806759722171,-0.00163438192388,0.000221792510838,-0.00537413801285,-0.0739709385696,-0.000208574976169,-0.045401837131,0.0739709385696,0.0713679563007,0,The MLE may be on the boundary of the parameter space.
A085,4,1,0.360773521149,-0.191057104259,-0.0775552084358,0.00260724706146,-3.88532044065e-05,-0.0022533742316,0.0738050646705,-0.00342735564296,-0.0191396330713,0.0738050646705,0.0299245596792,0,The MLE may be on the boundary of the parameter space.
A145,4,1,0.35792912168,-0.190197167736,-0.0690281945004,-0.00023715240765,0.0008210833184,0.0062736397038,0.0731495857682,0.0133082348841,0.0515446756364,0.0731495857682,0.0833132389151,0,The MLE may be on the boundary of the parameter space.
A023,4,1,0.361415998324,-0.193492914904,-0.0743985092427,0.00324972423646,-0.0024746638499,0.000903324961526,0.0729083862349,-0.042560661822,0.00857181520149,0.0729083862349,0.0129551173055,0,The MLE may be on the boundary of the parameter space.
A094,4,1,0.358580574593,-0.188838857286,-0.0787732211686,0.000414300505516,0.00217939376818,-0.00347138696444,0.0717957858194,0.0324814733054,-0.0306964046875,0.0717957858194,0.0460996335763,0,The MLE may be on the boundary of the parameter space.
A043,3,1,0.35909801481,-0.191314522296,-0.0699011823828,0.000931740722725,-0.000296271241363,0.00540065182142,0.071538833002,-0.00671506800293,0.0446486006435,0.071538833002,0.0717200567356,0,The MLE may be on the boundary of the parameter space.
A120,1,1,0.359438185323,-0.193765961819,-0.0773689295758,0.00127191123532,-0.00274771076428,-0.00206709537157,0.0714353575918,-0.0562162069692,-0.0173848814523,0.0714353575918,0.0274507970943,0,The MLE may be on the boundary of the parameter space.
A154,4,1,0.357339907326,-0.18699419002,-0.0744713504865,-0.00082636676147,0.00402406103443,0.000830483717751,0.00293164258603,0.0711685180448,0.00539432412616,0.0711685180448,0.0210663693769,0,The MLE may be on the boundary of the parameter space.
A143,4,1,0.355242463858,-0.188500153858,-0.066547042554,-0.00292381022919,0.00251809719613,0.00875479165023,-0.0311935245174,0.0402326603825,0.0711019960749,0.0711019960749,0.116262661365,0,The MLE may be on the boundary of the parameter space.
A029,4,1,0.356137608646,-0.19036356899,-0.0775746822588,-0.00202866544117,0.000654682064189,-0.00227284805459,-0.0710099173533,0.0174819929084,-0.0181013252198,0.0710099173533,0.0301831698871,0,The MLE may be on the boundary of the parameter space.
A090,3,1,0.356103863518,-0.187707920879,-0.0716944885063,-0.00206241056951,0.00331033017498,0.00360734569795,-0.070671474318,0.0597565145608,0.0289241229023,0.070671474318,0.0479051504665,0,The MLE may be on the boundary of the parameter space.
A110,4,1,0.357805757614,-0.192099806944,-0.083290097289,-0.000360516473773,-0.00108155588925,-0.00798826308483,-0.0704077554397,-0.0199531132313,-0.0659999735526,0.0704077554397,0.106083247098,0,The MLE may be on the boundary of the parameter space.
A005,4,1,0.355815368622,-0.18875921596,-0.0833913839665,-0.00235090546535,0.0022590350946,-0.00808954976229,-0.0581880388906,0.0343970111134,-0.0690833105844,0.0690833105844,0.107428322932,0,The MLE may be on the boundary of the parameter space.
A157,2,1,0.359722147499,-0.192190916747,-0.0771896147796,0.00155587341141,-0.00117266569261,-0.00188778057541,0.0681142215023,-0.0240788789154,-0.0157759952634,0.0681142215023,0.0250695165046,0,The MLE may be on the boundary of the parameter space.
A161,4,1,0.356714733918,-0.194393977909,-0.0724155426589,-0.00145154016908,-0.00337572685497,0.00288629154527,-0.0400017816764,-0.0667836650213,0.0240123790562,0.0667836650213,0.0383296313532,0,The MLE may be on the boundary of the parameter space.
A129,4,1,0.354575558518,-0.190608259695,-0.0700046267088,-0.00359071556883,0.000409991359787,0.00529720749545,-0.0644435582449,0.00533614762922,0.0434826623255,0.0644435582449,0.0703463275687,0,The MLE may be on the boundary of the parameter space.
A004,4,1,0.359455213533,-0.194248148019,-0.0771030292376,0.00128893944556,-0.00322989696475,-0.0018011950334,0.0196221379475,-0.0637735712842,-0.0148381844977,0.0637735712842,0.0239196701173,0,The MLE may be on the boundary of the parameter space.
A017,2,1,0.359457939951,-0.187767944799,-0.0761367626033,0.0012916658637,0.00325030625564,-0.00083492839905,0.0510949206202,0.062623984442,-0.00728705694985,0.062623984442,0.0170156843008,0,The MLE may be on the boundary of the parameter space.
A027,4,1,0.354909453594,-0.187776060128,-0.0798247792615,-0.00325682049365,0.00324219092668,-0.00452294505728,-0.0621104086708,0.0518978895876,-0.0397703093783,0.0621104086708,0.06006420833,0,The MLE may be on the boundary of the parameter space.
A127,4,1,0.354839699003,-0.19021535808,-0.0744897238454,-0.00332657508442,0.000802892974059,0.000812110358847,-0.0619291232849,0.0128824531212,0.00622753227156,0.0619291232849,0.0107847354242,0,The MLE may be on the boundary of the parameter space.
A045,4,1,0.357644189517,-0.192474490683,-0.0827198029188,-0.000522084569815,-0.00145623962815,-0.00741796871456,-0.0244145253577,-0.0263303546094,-0.0610722183891,0.0610722183891,0.0985098011616,0,The MLE may be on the boundary of the parameter space.
A038,4,1,0.354866098478,-0.188630136517,-0.0825133024372,-0.00330017560934,0.00238811453723,-0.00721146823303,-0.0279633440083,0.042322720159,-0.0607988480163,0.0607988480163,0.0957674976877,0,The MLE may be on the boundary of the parameter space.
A147,4,1,0.354613994684,-0.191585868127,-0.0681253612764,-0.00355227940343,-0.000567617073087,0.00717647292781,-0.0256114753414,-0.00458333605157,0.0604796092572,0.0604796092572,0.0953027639187,0,The MLE may be on the boundary of the parameter space.
A048,4,1,0.360605091935,-0.191713684742,-0.0731687956308,0.00243881784803,-0.000695433687295,0.00213303857337,0.0602603175588,-0.0102990643553,0.0182516772308,0.0602603175588,0.0283265154948,0,The MLE may be on the boundary of the parameter space.
A020,2,1,0.3593443723,-0.189892954369,-0.0752514769021,0.00117809821229,0.00112529668506,5.03573020922e-05,0.0587154000093,0.021677072106,0.000293855969107,0.0587154000093,0.00589104276083,0,The MLE may be on the boundary of the parameter space.
A057,4,1,0.356123382746,-0.193407617252,-0.0708677720304,-0.00204289134081,-0.00238936619745,0.00443406217376,-0.0434728030837,-0.0578811214954,0.0352034424493,0.0578811214954,0.0588838535027,0,The MLE may be on the boundary of the parameter space.
A138,3,1,0.354888554153,-0.194011486263,-0.0719459422861,-0.00327771993459,-0.00299323520838,0.00335589191814,-0.0443666385448,-0.0568272866772,0.0282636157536,0.0568272866772,0.044565872181,0,The MLE may be on the boundary of the parameter space.
A073,4,1,0.360680310566,-0.193873502545,-0.0732693758732,0.00251403647894,-0.00285525149087,0.00203245833101,0.0347567928471,-0.0564825441337,0.0169215011379,0.0564825441337,0.0269908210402,0,The MLE may be on the boundary of the parameter space.
A165,3,1,0.358271965323,-0.190898424192,-0.0704405127609,0.000105691235466,0.000119826862104,0.00486132144327,-0.0546620597439,0.0148692352664,0.0422138785523,0.0546620597439,0.0645578091775,0,The MLE may be on the boundary of the parameter space.
A098,4,1,0.359988616902,-0.193445956639,-0.0776303978545,0.00182234281447,-0.0024277055846,-0.00232856365025,0.0543553751537,-0.03990370941,-0.0178992305978,0.0543553751537,0.0309230668131,0,The MLE may be on the boundary of the parameter space.
A008,4,1,0.358472201919,-0.194210297555,-0.071684800555,0.000305927832099,-0.00319204650032,0.00361703364919,0.0532171292339,-0.0539258041263,0.0314775152622,0.0539258041263,0.0480338053836,0,The MLE may be on the boundary of the parameter space.
A106,4,1,0.356337448641,-0.191210758624,-0.070616015416,-0.00182882544658,-0.000192507569679,0.00468581878822,-0.0527314838607,-0.000860659108445,0.0393045777222,0.0527314838607,0.0622271533986,0,The MLE may be on the boundary of the parameter space.
