自助序号,有效标志,BMI每增加1单位的时间尺度倍数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则选择两组标志,两组切点,两组低BMI组人数,两组高BMI组人数,一组方案中位达标时间_天,两组低BMI组中位达标时间_天,两组高BMI组中位达标时间_天
262,1,1.0392536426246508,307.69564455813287,304.29349186499167,1,36.999319045,151,16,71,70,104
263,1,1.0370941181917042,310.3640314261869,307.3271538577735,1,36.999319045,152,15,72,70,110
264,1,1.0132968338600734,329.79974236731124,334.4570260283899,0,36.999319045,156,11,70,70,102
265,1,1.0198701905713121,307.4851114326688,308.74789827776505,0,36.999319045,151,16,70,70,102
266,1,1.04806494253044,327.99621478954225,325.92291389572915,1,40.635610400000004,162,5,73,71,148
267,1,1.0115441136029295,287.8136794129592,286.87439673498756,1,36.999319045,152,15,74,71,100
268,1,1.0461307896343932,325.89215743925956,322.2723653217466,1,36.09730783,148,19,71,70,104
269,1,1.049177058774752,312.4035860773168,311.45755943272025,1,36.999319045,149,18,70,70,115
270,1,1.0220556227914355,305.8052627867989,303.06722539475635,1,36.067052364999995,140,27,72,70,97
271,1,1.0528205787536797,287.3970522243763,291.58997496066905,0,36.8111298,155,12,70,70,103
272,1,1.0374753820549034,336.73240324781,337.0127480572716,0,40.635610400000004,163,4,71,70,173
273,1,1.0577741820774047,301.61218634260416,297.29839447994107,1,36.8111298,152,15,70,70,111
274,1,1.035442214683347,265.00890342027475,258.13355390322215,1,36.999319045,143,24,72,70,96
275,1,1.0435670295628359,298.97920262000713,292.21686074178706,1,36.067052364999995,148,19,70,70,106
276,1,1.0063568611585632,287.70228467800376,292.4243230716901,0,36.886309245,152,15,74,72,92
277,1,0.9990315540605993,274.31267336902346,282.2186007954567,0,36.999319045,158,9,70,70,94
278,1,1.0309290497842234,265.48479504546106,268.2950909155153,0,45.92884948,165,2,70,70,175
279,1,1.0278868825197782,326.3153332683052,329.27554208564953,0,37.0437363,157,10,71,70,105
280,1,1.014378426596652,330.75733472921956,336.96646228359066,0,40.635610400000004,162,5,72,71,117
281,1,1.018656321987555,300.8171797742747,304.72226644438683,0,45.92884948,165,2,70,70,175
282,1,1.0417889169196914,349.5116304686313,338.77995324207427,1,30.98707349,79,88,77,70,91
283,1,1.0382299817686649,320.71655782553603,321.5387949512489,0,36.999319045,148,19,70,70,102
284,1,1.0363994352840211,347.29274299835396,340.41921810909923,1,30.9825528,78,89,79,70,90
