重复序号,截距,孕周一次项,孕周二次项,妇间BMI效应,个体内BMI效应,年龄效应,生产次数效应,曲线最低点孕周
1,-2.868306020957191,0.05060422845717151,0.00495551428416592,-0.038849264688417845,-0.0006163920044779925,-0.01619258304649578,0.2053717110701625,12.894149672934613
2,-2.8953571118772397,0.0463254223944353,0.00528110619841105,-0.045799418704440806,-0.023753985408011494,-0.026404680370458535,0.2403165814827586,13.614041769471193
3,-2.9220278948911105,0.03831465973751093,0.005630271670397448,-0.029793165781742858,-0.01280576582523382,-0.014845872884963649,0.19032782635924797,14.597441297641126
4,-2.9466861623103617,0.04733917120929682,0.004111850252728291,-0.014664336464516377,0.0036487028799253728,-0.029960208590703134,0.28425970256699223,12.243568187109151
5,-2.952083518459986,0.04447062210056034,0.004863894184035673,-0.03329203760449569,-0.02275464314588574,-0.03316580245241096,0.2965228848235991,13.428496137259492
6,-2.911830819680928,0.04522312685710317,0.003923756123110327,-0.02669996156636558,-0.04377941172580976,-0.008138253697136428,0.24063030684622128,12.23726584448689
7,-2.928782031699569,0.04925205751722165,0.005502345318580712,-0.029742574949084038,-0.007066588829027954,-0.030796812999728397,0.20858555516188168,13.52444869727607
8,-2.9048358161735117,0.03962547898317845,0.004631753597067793,-0.03849741832027985,0.029903054189535008,-0.026203999623612487,0.19091752701921824,13.72241072924691
9,-2.8496466189118266,0.05384295383616905,0.004711629477914924,-0.04423558261300648,-0.023877999443085822,-0.009639391537544065,0.15466114450469978,12.286164257126963
10,-2.881138895546604,0.04920154088871532,0.004784482507650879,-0.032564420049354274,-0.010922702895619639,-0.013928515234757443,0.2104735878884613,12.858217078854715
11,-2.8424766666597723,0.062456374165159145,0.005060171806169027,-0.027553948554608767,-0.09268996181040286,-0.014490226092929522,0.12469885188788223,11.82863106653647
12,-2.8020601741912126,0.0550792227308276,0.0038569900031112454,-0.049137373532761396,-0.04338822419930704,-0.003433496677168312,0.166907718427405,10.859817800098279
13,-2.9379653999747193,0.03937865215489661,0.004461674591373157,-0.0333500061972779,-0.03980601266474969,-0.015028117558353564,0.18615670984138463,13.587009838073246
14,-2.932287633833508,0.04592940018035761,0.006028944116309235,-0.03635184360833023,-0.009775530885193656,-0.016015045750338103,0.1958702964670802,14.19092503643288
15,-2.8855206955707975,0.046402925329110355,0.005701910073273952,-0.032039098720962715,-0.006930112085340792,-0.022829620998565524,0.09325653025059187,13.930931500778083
16,-2.8969566316375013,0.046057455300667356,0.0060336302994813025,-0.042109811742836054,-0.02446090959824061,-0.006038420541733785,0.08554796081207872,14.183271677697356
17,-2.9705590603673087,0.048491707873132096,0.006235650992633079,-0.03719659645494574,-0.01322557124581419,-0.004448155282931297,0.24865652871932478,14.111736534772298
18,-2.8927870656520085,0.047046627532838836,0.004971654758698826,-0.029869391881244316,0.018378013640571646,-0.0035554800134222943,0.15388551464116765,13.268514225517963
19,-2.8841707416090996,0.04904095471505829,0.0056775735831530935,-0.044311518287907636,-0.02969258748619834,-0.005184705124149286,0.14335310305313334,13.681169605570929
20,-2.8519793710526775,0.043559272691047465,0.003968642343550262,-0.047777728809554706,-0.007544311419529085,-0.02793687187671786,0.1647789646733195,12.51206874791339
21,-2.859939680503796,0.051280928919314475,0.005560943939677889,-0.041776321912609264,-0.041465946808473375,-0.004762888594214053,0.18855669269326433,13.38918846552112
22,-2.891316078025231,0.04245467804341842,0.005063130768828374,-0.043213173177763034,0.0174167120479152,-0.020900116342449263,0.23589697309079474,13.80746775248286
23,-2.7876015896660955,0.041137746685512906,0.004380528030894985,-0.04783329592903481,0.0005790812942667281,-0.008018090465092064,0.1215400689463947,13.304476264576252
24,-2.8640514341983585,0.05001663244223157,0.003992317553038558,-0.03890338554786787,-0.005616840943313752,-0.01741638604170681,0.1768554542547017,11.73589002155354
