孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
11.0,28.0,0.0,29.0,0,0.05540020585072691,0.04933562376131911,0.06348815752651284
11.25,28.0,0.0,29.0,0,0.055088494257120306,0.049203371815599556,0.06288658918155589
11.5,28.0,0.0,29.0,0,0.054811337246337015,0.04904698156578497,0.06232771959550186
11.75,28.0,0.0,29.0,0,0.05456825910388856,0.04894126751989377,0.061906976066975525
12.0,28.0,0.0,29.0,0,0.0543588434273687,0.04883354286776239,0.061710654617013236
12.25,28.0,0.0,29.0,0,0.05418273209947532,0.048736985582140846,0.061367845610945576
12.5,28.0,0.0,29.0,0,0.05403962440415778,0.04867579778382719,0.061030022579209454
12.75,28.0,0.0,29.0,0,0.053929276284007836,0.04865758961904614,0.06086327849752326
13.0,28.0,0.0,29.0,0,0.053851499737292426,0.04859491534340492,0.06080237713516204
13.25,28.0,0.0,29.0,0,0.053806162353314445,0.048592055093495186,0.060473996872270536
13.5,28.0,0.0,29.0,0,0.05379318698508242,0.048579365020673865,0.06034099098023052
13.75,28.0,0.0,29.0,0,0.053812551558565534,0.048637441063681515,0.06036440322387836
14.0,28.0,0.0,29.0,0,0.05386428901811176,0.04864545302176435,0.06042717094720016
14.25,28.0,0.0,29.0,0,0.05394848740790786,0.04871966909837596,0.06047626295440917
14.5,28.0,0.0,29.0,0,0.0540652900896619,0.04879760140873125,0.06053608733236025
14.75,28.0,0.0,29.0,0,0.05421489609699052,0.048939338997061516,0.06063520877328593
15.0,28.0,0.0,29.0,0,0.054397560627292875,0.04905162913196801,0.06091292869186412
15.25,28.0,0.0,29.0,0,0.054613595672188826,0.049198386232947804,0.061289900495700884
15.5,28.0,0.0,29.0,0,0.054863370787893204,0.04932430200284296,0.06168044080931836
15.75,28.0,0.0,29.0,0,0.05514731400718283,0.04947537037543224,0.062117776037402685
