重复序号,截距,孕周一次项,孕周二次项,妇间BMI效应,个体内BMI效应,年龄效应,生产次数效应,曲线最低点孕周
310,-2.9172338467318624,0.04330342353757423,0.005055210928516834,-0.03857546644159776,-0.00622192940654217,-0.016685971153407107,0.1697684518231787,13.716951859189862
311,-2.920705369804151,0.04374412361238858,0.0045059683091652585,-0.037842157227464264,-0.02994697348087162,-0.00967217204054801,0.21535606269432003,13.145979663970131
312,-2.9078847913485877,0.04350016841133159,0.005960412642994781,-0.04773030577694687,-0.027401955187971564,-0.012959400396128322,0.12851716704518826,14.350909658708197
313,-2.9281630354675863,0.04942272599404892,0.0054206972218027415,-0.03683137643084336,-0.005167669168467316,-0.009812309647000233,0.25699439855277684,13.441294360136519
314,-2.841280638286688,0.04760679726335102,0.004645381228971347,-0.045634931240420326,0.009353084080556545,-0.01751026879795985,0.1232027717658112,12.875899854413793
315,-2.9045170524837656,0.049085552014097214,0.005242075510124484,-0.038803012991894585,-0.05324200240751638,-0.014036414564431275,0.1746212969163767,13.31811856589113
316,-2.845590907544553,0.045154709030016726,0.004550432573671899,-0.030814577400196913,-0.00409523970353058,-0.009867009193514792,0.20959774321849095,13.03841576608838
317,-2.9013155283149334,0.05224048270158847,0.004774949522408764,-0.019332212214041352,-0.03002614614515344,-0.025017183935608766,0.18401292253988763,12.52973455987077
318,-2.8599891199335503,0.045095716938626795,0.0049569287537813275,-0.024040048633396857,-0.02874333616527997,-0.017075997678579768,0.17150613123460431,13.451244189839715
319,-2.842113306252234,0.046148848687570354,0.004785505921186167,-0.04481397991366065,-0.022406673919351982,-0.011538841153943906,0.08722084467397499,13.17826856265475
320,-2.9263272693575395,0.047378949189150976,0.00488802871140375,-0.036128911356517544,-0.004965335933827441,-0.0043869669485631976,0.1816331528554002,13.153572944588472
321,-2.889491836179075,0.05077900161399536,0.005728769768815027,-0.021054305100511296,-0.041387417042188,-0.015430150671171799,0.16791933289873445,13.568071011474878
322,-2.816313001117403,0.050634833739215804,0.004435793996328354,-0.014946956214278778,-0.06026961374130192,-0.018935898730586133,0.08345741502844517,12.292472353187744
323,-2.8571314070088536,0.05052778717810836,0.004695962765096202,-0.032488280762919576,-0.032594585521926615,-0.029424934129544618,0.17858252694518428,12.620082216828093
324,-2.8305995727931537,0.04672280673555525,0.004354367401985924,-0.020057583171951783,-0.019759974397797055,-0.010167399238340267,0.11903577977670936,12.634948957884665
325,-2.9251597437791816,0.05106778499814357,0.0060490244527037764,-0.029823131705235543,-0.017234184257567384,-0.018273614715523474,0.2935250592462432,13.778841249739251
326,-2.936043819027384,0.042751860483768174,0.006425690363145278,-0.03297046853054746,-0.056740962680834096,-0.02470663137729951,0.17447978703554878,14.673364411630178
