模型,模型类型,均值方程参数数,总参数复杂度,收敛,AIC（仅Beta内部可比）,BIC（仅Beta内部可比）,全样本RMSE（仅描述）,是否Beta内部选定版本,验证方式,事件数,孕妇数,模型参数复杂度,全部折收敛,越界预测数,均方根误差（RMSE）,平均绝对误差（MAE）,组外R²,分数对数损失
Beta回归-常精度-二次孕周,Beta,7,8,是,-2649.626245378185,-2614.2793258906954,0.03170665698197289,否,5折按孕妇分组,613,167,8,是,0,0.03248301494912574,0.024529598868939215,0.16471427880306266,0.24868331079069766
Beta回归-孕周变精度-二次孕周,Beta,7,9,是,-2657.9388184550535,-2618.1735340316277,0.03172268959613509,是,5折按孕妇分组,613,167,9,是,0,0.032462409098178095,0.024490821345674086,0.165773682549061,0.24866461714599378
分数logit GEE-线性孕周,GEE-分数logit,6,7,是,,,0.0320745430487399,否,5折按孕妇分组,613,167,7,是,0,0.03287779793419577,0.024713249255854563,0.1442875762543303,0.24890183064409208
分数logit GEE-二次孕周,GEE-分数logit,7,8,是,,,0.03169127457735509,否,5折按孕妇分组,613,167,8,是,0,0.032500581244796795,0.02446476296971255,0.16381061617200343,0.24870529671419223
高斯GEE-二次孕周,GEE-高斯恒等,7,8,是,,,0.031588138627927684,否,5折按孕妇分组,613,167,8,是,0,0.03233527044640605,0.024369789352463544,0.17229536199992757,0.24861765517143117
