BMI水平,孕妇平均BMI,孕周数,Beta回归-孕周变精度-二次孕周预测Y浓度,分数logit GEE-二次孕周预测Y浓度,高斯GEE-二次孕周预测Y浓度
妇间BMI第25百分位,30.04853764,11.0,0.06061717793741948,0.06023990108275709,0.06235820258588469
妇间BMI第25百分位,30.04853764,11.123649459783914,0.06047430029801272,0.060084439641922484,0.062095485046578115
妇间BMI第25百分位,30.04853764,11.247298919567827,0.06033993382031426,0.059937862521744406,0.061844375155397834
妇间BMI第25百分位,30.04853764,11.370948379351741,0.06021402677214502,0.059800110626386176,0.06160487291234387
妇间BMI第25百分位,30.04853764,11.494597839135654,0.060096530718731285,0.05967112846917584,0.06137697831741622
妇间BMI第25百分位,30.04853764,11.618247298919568,0.059987400496395615,0.05955086414103838,0.061160691370614854
妇间BMI第25百分位,30.04853764,11.741896758703481,0.05988659418801017,0.05943926928094413,0.060956012071939805
妇间BMI第25百分位,30.04853764,11.865546218487395,0.05979407310020258,0.059336299048361664,0.060762940421391055
妇间BMI第25百分位,30.04853764,11.989195678271308,0.05970980174230431,0.05924191209770212,0.06058147641896862
妇间BMI第25百分位,30.04853764,12.112845138055222,0.059633747807033,0.05915607055474416,0.060411620064672475
妇间BMI第25百分位,30.04853764,12.236494597839135,0.059565882152900734,0.05907873999502862,0.060253371358502644
妇间BMI第25百分位,30.04853764,12.36014405762305,0.059506178788340046,0.05900988942421383,0.06010673030045911
妇间BMI第25百分位,30.04853764,12.483793517406962,0.05945461485754138,0.058949491260381265,0.05997169689054189
妇间BMI第25百分位,30.04853764,12.607442977190876,0.05941117062799574,0.05889752131828534,0.05984827112875097
妇间BMI第25百分位,30.04853764,12.73109243697479,0.0593758294797371,0.05885395879553836,0.05973645301508635
妇间BMI第25百分位,30.04853764,12.854741896758703,0.05934857789627959,0.05881878626072516,0.05963624254954804
妇间BMI第25百分位,30.04853764,12.978391356542618,0.05932940545724604,0.058791989643442,0.05954763973213603
妇间BMI第25百分位,30.04853764,13.10204081632653,0.05931830483268414,0.05877355822625454,0.05947064456285033
妇间BMI第25百分位,30.04853764,13.225690276110445,0.05931527177906774,0.05876348463857147,0.05940525704169093
妇间BMI第25百分位,30.04853764,13.349339735894358,0.059320305136982075,0.05876176485243104,0.05935147716865784
妇间BMI第25百分位,30.04853764,13.472989195678272,0.059333406830491105,0.05876839818019811,0.05930930494375105
妇间BMI第25百分位,30.04853764,13.596638655462185,0.05935458186818713,0.05878338727417107,0.05927874036697057
妇间BMI第25百分位,30.04853764,13.720288115246099,0.05938383834592331,0.0588067381280982,0.05925978343831639
妇间BMI第25百分位,30.04853764,13.843937575030012,0.05942118745122983,0.05883846008060433,0.05925243415778851
妇间BMI第25百分位,30.04853764,13.967587034813926,0.059466643469415964,0.05887856582052903,0.05925669252538695
妇间BMI第25百分位,30.04853764,14.09123649459784,0.05952022379136067,0.058927071394179534,0.05927255854111168
妇间BMI第25百分位,30.04853764,14.214885954381753,0.059581948922995294,0.05898399621450104,0.059300032204962716
妇间BMI第25百分位,30.04853764,14.338535414165666,0.05965184249648202,0.0590493630721692,0.05933911351694006
妇间BMI第25百分位,30.04853764,14.46218487394958,0.059729931283093764,0.05912319814860956,0.0593898024770437
妇间BMI第25百分位,30.04853764,14.585834333733494,0.05981624520780037,0.0592055310309503,0.05945209908527366
妇间BMI第25百分位,30.04853764,14.709483793517407,0.05991081736556777,0.05929639472891501,0.05952600334162992
妇间BMI第25百分位,30.04853764,14.833133253301321,0.06001368403937722,0.05939582569366321,0.059611515246112474
妇间BMI第25百分位,30.04853764,14.956782713085234,0.060124884719971995,0.059503863838587245,0.05970863479872134
妇间BMI第25百分位,30.04853764,15.080432172869148,0.06024446212734034,0.05962055256207491,0.05981736199945652
妇间BMI第25百分位,30.04853764,15.204081632653061,0.06037246223394314,0.059745938772248326,0.05993769684831799
妇间BMI第25百分位,30.04853764,15.327731092436975,0.06050893428969671,0.05988007291368947,0.060069639345305764
妇间BMI第25百分位,30.04853764,15.45138055222089,0.060653930848720755,0.06002300899616486,0.06021318949041986
妇间BMI第25百分位,30.04853764,15.575030012004802,0.060807507797861954,0.06017480462536156,0.060368347283660244
妇间BMI第25百分位,30.04853764,15.698679471788715,0.06096972438700567,0.0603355210356478,0.06053511272502693
妇间BMI第25百分位,30.04853764,15.82232893157263,0.06114064326118717,0.06050522312487245,0.060713485814519935
妇间BMI第25百分位,30.04853764,15.945978391356544,0.06132033049451534,0.060683979491217836,0.06090346655213924
妇间BMI第25百分位,30.04853764,16.069627851140456,0.061508855625922156,0.06087186247212134,0.06110505493788484
妇间BMI第25百分位,30.04853764,16.19327731092437,0.06170629169675138,0.061068948185281996,0.06131825097175675
妇间BMI第25百分位,30.04853764,16.316926770708285,0.06191271529020091,0.06127531657176816,0.061543054653754974
妇间BMI第25百分位,30.04853764,16.440576230492198,0.0621282065726334,0.06149105144124386,0.06177946598387949
妇间BMI第25百分位,30.04853764,16.56422569027611,0.06235284933676996,0.06171624051933149,0.062027484962130314
妇间BMI第25百分位,30.04853764,16.687875150060023,0.06258673104678245,0.0619509754971285,0.06228711158850744
妇间BMI第25百分位,30.04853764,16.81152460984394,0.06282994288530044,0.062195352082897226,0.06255834586301087
妇间BMI第25百分位,30.04853764,16.935174069627852,0.06308257980234822,0.06244947005594666,0.06284118778564061
妇间BMI第25百分位,30.04853764,17.058823529411764,0.06334474056622838,0.06271343332272479,0.06313563735639666
妇间BMI第25百分位,30.04853764,17.18247298919568,0.06361652781636884,0.06298734997514246,0.06344169457527901
妇间BMI第25百分位,30.04853764,17.306122448979593,0.06389804811814902,0.06327133235114679,0.06375935944228765
妇间BMI第25百分位,30.04853764,17.429771908763506,0.0641894120197227,0.06356549709756525,0.06408863195742262
妇间BMI第25百分位,30.04853764,17.55342136854742,0.0644907341108535,0.06386996523524004,0.06442951212068387
妇间BMI第25百分位,30.04853764,17.67707082833133,0.06480213308378002,0.06418486222647234,0.06478199993207143
妇间BMI第25百分位,30.04853764,17.800720288115247,0.06512373179612714,0.06451031804479646,0.06514609539158532
妇间BMI第25百分位,30.04853764,17.92436974789916,0.06545565733587944,0.06484646724710393,0.06552179849922549
妇间BMI第25百分位,30.04853764,18.048019207683073,0.06579804108843289,0.06519344904813619,0.06590910925499197
妇间BMI第25百分位,30.04853764,18.17166866746699,0.06615101880574098,0.06555140739736505,0.06630802765888476
妇间BMI第25百分位,30.04853764,18.2953181272509,0.06651473067756916,0.06592049105828007,0.06671855371090384
妇间BMI第25百分位,30.04853764,18.418967587034814,0.06688932140487405,0.06630085369009923,0.06714068741104923
妇间BMI第25百分位,30.04853764,18.542617046818727,0.0672749402753194,0.06669265393192188,0.06757442875932093
妇间BMI第25百分位,30.04853764,18.666266506602643,0.06767174124094369,0.06709605548933839,0.06801977775571895
妇间BMI第25百分位,30.04853764,18.789915966386555,0.06807988299799037,0.06751122722351283,0.06847673440024325
妇间BMI第25百分位,30.04853764,18.913565426170468,0.06849952906891278,0.06793834324275243,0.06894529869289386
妇间BMI第25百分位,30.04853764,19.037214885954384,0.0689308478865636,0.06837758299657641,0.06942547063367077
妇间BMI第25百分位,30.04853764,19.160864345738297,0.06937401288057733,0.06882913137229514,0.06991725022257399
妇间BMI第25百分位,30.04853764,19.28451380552221,0.06982920256595354,0.06929317879410975,0.07042063745960352
妇间BMI第25百分位,30.04853764,19.408163265306122,0.07029660063384631,0.06976992132473907,0.07093563234475934
妇间BMI第25百分位,30.04853764,19.531812725090035,0.07077639604456375,0.07025956076957965,0.07146223487804147
妇间BMI第25百分位,30.04853764,19.65546218487395,0.07126878312277965,0.07076230478340217,0.07200044505944993
妇间BMI第25百分位,30.04853764,19.779111644657863,0.07177396165495667,0.07127836697958426,0.07255026288898467
妇间BMI第25百分位,30.04853764,19.90276110444178,0.07229213698897875,0.07180796704187796,0.07311168836664572
妇间BMI第25百分位,30.04853764,20.026410564225692,0.07282352013598697,0.07235133083870637,0.07368472149243306
妇间BMI第25百分位,30.04853764,20.150060024009605,0.07336832787441129,0.07290869053998017,0.07426936226634673
妇间BMI第25百分位,30.04853764,20.273709483793517,0.07392678285618616,0.07348028473642237,0.07486561068838668
妇间BMI第25百分位,30.04853764,20.39735894357743,0.07449911371513604,0.07406635856138434,0.07547346675855295
妇间BMI第25百分位,30.04853764,20.521008403361346,0.0750855551775122,0.0746671638151322,0.07609293047684552
妇间BMI第25百分位,30.04853764,20.64465786314526,0.07568634817465854,0.07528295909157831,0.07672400184326439
妇间BMI第25百分位,30.04853764,20.768307322929175,0.07630173995778029,0.07591400990742743,0.07736668085780958
妇间BMI第25百分位,30.04853764,20.891956782713088,0.0769319842147844,0.07656058883370061,0.07802096752048107
妇间BMI第25百分位,30.04853764,21.015606242497,0.07757734118915506,0.07722297562959585,0.07868686183127885
妇间BMI第25百分位,30.04853764,21.139255702280913,0.07823807780082437,0.07790145737863621,0.07936436379020294
妇间BMI第25百分位,30.04853764,21.262905162064826,0.07891446776898989,0.07859632862705031,0.08005347339725334
妇间BMI第25百分位,30.04853764,21.386554621848738,0.07960679173682697,0.07930789152432328,0.08075419065243003
妇间BMI第25百分位,30.04853764,21.510204081632654,0.08031533739803576,0.08003645596584642,0.08146651555573305
妇间BMI第25百分位,30.04853764,21.633853541416567,0.08104039962515663,0.08078233973758736,0.08219044810716235
妇间BMI第25百分位,30.04853764,21.757503001200483,0.08178228059958033,0.08154586866269317,0.08292598830671799
妇间BMI第25百分位,30.04853764,21.881152460984396,0.08254128994316993,0.08232737674992723,0.0836731361543999
妇间BMI第25百分位,30.04853764,22.00480192076831,0.08331774485140597,0.08312720634383372,0.08443189165020813
妇间BMI第25百分位,30.04853764,22.12845138055222,0.08411197022795366,0.08394570827650948,0.08520225479414265
妇间BMI第25百分位,30.04853764,22.252100840336134,0.08492429882054417,0.08478324202085302,0.08598422558620349
妇间BMI第25百分位,30.04853764,22.37575030012005,0.08575507135805079,0.08564017584514803,0.08677780402639063
妇间BMI第25百分位,30.04853764,22.499399759903962,0.08660463668862954,0.08651688696882416,0.08758299011470407
妇间BMI第25百分位,30.04853764,22.62304921968788,0.08747335191878351,0.0874137617192253,0.08839978385114383
妇间BMI第25百分位,30.04853764,22.74669867947179,0.08836158255319633,0.08833119568920006,0.08922818523570988
妇间BMI第25百分位,30.04853764,22.870348139255704,0.0892697026351692,0.08926959389531297,0.09006819426840224
